Time,,prod16.dc4,prod08.ld5,prod11.dc4,prod34.dc4,prod40.la3,prod50.dc4,prod14.dc4,prod81.dc4,prod03.dc4,prod41.la3
2018/12/10 12:24:00,PST,2.11,3.2983,4.4117,4.5983,2.75,1.8717,2.6133,2.3633,2.3817,2.0433
2018/12/10 12:25:00,PST,18.2383,3.7383,2.9583,2.6317,2.7233,2.2233,2.6067,2.1233,1.7017,2.195
2018/12/10 12:26:00,PST,11.5617,3.645,3.6067,2.565,2.4733,2.12,2.435,2.3367,1.8917,1.9933
2018/12/10 12:27:00,PST,8.87,4.5633,4.2433,2.915,2.7567,4.525,2.5,2.1367,2.38,2.2183
2018/12/10 12:28:00,PST,1.7483,4.9917,2.19,2.4367,2.655,1.7733,2.58,2.2683,2.2983,2.0733
2018/12/10 12:29:00,PST,15.335,5.1383,6.7233,5.085,2.695,1.9633,2.605,1.9817,2.425,2.26
2018/12/10 12:30:00,PST,5.3217,3.17,4.5167,2.555,2.625,2.6933,2.88,2.3617,2.1033,2.1717
2018/12/10 12:31:00,PST,16.655,4.045,3.9033,2.5383,2.625,2.5583,2.3583,2.455,2.0483,2.0267
2018/12/10 12:32:00,PST,13.305,3.955,4.32,3.7333,2.8317,4.8567,2.74,2.455,1.8767,2.105
2018/12/10 12:33:00,PST,4.5867,2.995,2.6317,3.3033,2.7717,2.4983,2.6317,2.4933,2.68,2.2117
2018/12/10 12:34:00,PST,1.7267,3.66,4.5867,3.7983,2.8917,2.3574,2.7317,2.67,2.2317,1.98
2018/12/10 12:35:00,PST,18.0317,3.425,3.46,2.6183,3.31,4.5333,2.81,2.2667,1.8717,2.215
2018/12/10 12:36:00,PST,7.53,2.9033,5.65,2.9783,2.6,2.61,2.1417,2.42,1.7617,2.1733
2018/12/10 12:37:00,PST,11.9283,6.0017,3.9833,2.5833,2.7717,2.5915,2.55,2.5467,8.96,2.1133
2018/12/10 12:38:00,PST,1.775,3.9817,1.9517,3.0433,2.6483,3.89,2.4867,2.47,3.4983,2.1083
2018/12/10 12:39:00,PST,12.01,2.99,4.3017,3.05,2.6567,2.1098,3.39,2.62,1.655,2.1767
2018/12/10 12:40:00,PST,9.0567,3.4633,2.9083,3.875,2.5033,3.6467,2.5867,2.785,1.9167,2.005
2018/12/10 12:41:00,PST,14.6317,3.5217,3.0883,3.5517,2.9117,2.0183,2.155,2.6533,1.9,2.155
2018/12/10 12:42:00,PST,1.8667,3.0667,4.1717,3.14,2.65,3.9917,2.36,2.6367,1.4933,2.2483
2018/12/10 12:43:00,PST,2.5633,3.845,2.11,3.4,2.7967,1.915,2.4983,2.2733,2.1067,1.9883
